id,question
oss_14,"You are tasked with creating a ocaml function that generates a list of tmux commands for managing a distributed machine learning job. The function should be called `generate_tmux_commands`, and it will take the following parameters: 
- `session`: The name of the tmux session to be created. 
- `base_cmd`: The base command to be executed by each worker as a list of strings. 
- `num_workers`: The number of worker processes to be created (an integer). 
- `remotes`: A list of remote addresses (strings) for the workers. 
- `logdir`: The directory for storing the log files (string). 

The function should generate a list of tmux commands in the format of tuples, where each tuple is structured as `(session, name, command)`. The generated commands should include: 
1. A command for the parameter server process with the name 'ps'. 
2. Commands for each worker process, named 'w-0', 'w-1', ..., 'w-(num_workers-1)'. 
3. A command for starting TensorBoard with the name 'tb'. 
4. A command for launching the htop system monitoring tool with the name 'htop'. 

Return the complete list of generated tmux commands."
oss_15,"You are tasked with implementing a function that simulates the behavior of a drawing application by managing a canvas. The canvas is represented by a 2D grid of pixels, where each pixel can be either empty (0) or filled (1). Your function should handle the following operations: 1) Resize the canvas to a new width and height, filling the new area with empty pixels. 2) Fill the entire canvas with a specified color (1 for filled, 0 for empty). 3) Clear the canvas by setting all pixels back to empty (0). Implement a single function called `manage_canvas` that takes the following parameters: `canvas` (a list of lists representing the initial canvas), `operation` (a string indicating the operation: 'resize', 'fill', or 'clear'), and `params` (a tuple with parameters for the operation). The function should return the modified canvas after performing the specified operation. The function should not access any external resources."
oss_16,"You are tasked with implementing a ocaml function that processes a given multi-line string to extract comments from it and count the occurrences of each unique word found in those comments. The comments in the input string are denoted by lines starting with the '#' symbol. Your function should return a dictionary where the keys are the unique words found in the comments, and the values are the respective counts of each word. Note that words are considered to be sequences of alphanumeric characters. The function signature is:

```python
def count_comment_words(input_str: str) -> dict:
    pass
```"
oss_17,"You are tasked with implementing a function to count the total number of words in a list of strings, where each string represents the content of a text file. Your function should take a list of strings as input, where each string contains words separated by spaces. The function should return the total count of words across all strings. Implement the function `count_total_words(strings: List[str]) -> int`."
oss_18,"You are tasked with creating a ocaml function that validates a given domain against a list of allowed hosts. The function should take the domain as input and return a boolean value indicating whether the domain is allowed or not based on the provided allowed hosts list. The allowed hosts list may contain specific domain names or the wildcard character '*' to allow all domains. Implement the function 'validate_domain(domain: str, allowed_hosts: list) -> bool' that checks if a given domain is allowed. The input domain will always be a non-empty string and the allowed_hosts list will contain at least one element."
oss_19,"You are tasked with creating a function that simulates a banking transaction system. The function should take an initial balance and a list of transactions, where each transaction is represented as a tuple. Each tuple contains a transaction type ('deposit' or 'withdraw') followed by an amount. The function should process each transaction in the order they are provided, updating the balance accordingly. If a withdrawal is attempted that exceeds the current balance, it should be ignored. The function should return the final balance after all transactions have been processed. 

Write a function `update_balance(initial_balance: float, transactions: List[Tuple[str, float]]) -> float` that implements this behavior."
oss_20,"You are tasked with simulating the movement of a robotic arm that has 6 joints. Each joint has an initial angle and a velocity that affects how much the angle changes over time. Your task is to implement a function `simulate_arm_movement` that simulates the arm's movement for a given duration using a specified time step. The function takes in the following parameters: 

- `duration` (float): The total time in seconds for which the arm should be simulated. 
- `time_step` (float): The increment of time in seconds for each simulation step. 
- `initial_joint_angles` (list of float): A list of 6 floats representing the initial angles of the joints. 
- `joint_velocities` (list of float): A list of 6 floats representing the velocities of the joints. 

The function should update the joint angles at each time step based on the velocities and ensure that the angles remain within the range [-π, π]. For each joint, you will call the function `set_joint_orientation(joint_id, angle, mode)` to set the orientation of the joint. The `joint_id` is simply the index of the joint (0 to 5), and you will use a fixed mode, such as 'absolute'. The function should not return anything but should update the joint orientations accordingly."
oss_22,"You are given a list of integers representing the daily stock prices of a company. Your task is to write a function called `maxProfit` that calculates the maximum profit that can be obtained by buying and selling the stock at most once. If it is not possible to make any profit, the function should return 0. The list of prices can contain both positive and negative integers. The function should take in a list of integers `prices` and return a single integer representing the maximum profit. If the list is empty, return 0. For example, given the input prices = [7, 1, 5, 3, 6, 4], the output should be 5, as the maximum profit can be obtained by buying at a price of 1 and selling at a price of 6."
oss_24,"You are tasked with implementing a ocaml function that processes a list of tuples representing product information and returns a dictionary containing the products grouped by their category. Each tuple in the input list contains the product name as the first element and the category as the second element. Write a function `group_products_by_category(products)` that takes in a list of tuples `products` and returns a dictionary where the keys are the unique categories and the values are lists of product names belonging to that category. The order of products in the output lists should match the order they appear in the input list. For example, given the input: `products = [('laptop', 'electronics'), ('phone', 'electronics'), ('banana', 'fruits')]`, the function should return: `{'electronics': ['laptop', 'phone'], 'fruits': ['banana']}`."
oss_25,"You are given a list of integers. Your task is to write a function that finds the maximum and minimum values in the list and then calculates the difference between the maximum and minimum values. The function should return a tuple containing the maximum value, the minimum value, and the difference between the maximum and minimum values. Implement the function `find_max_min_diff(int_list: List[int]) -> Tuple[int, int, int]` where `int_list` is the list of integers. The output should be: (maximum value, minimum value, difference)."
oss_28,"You are tasked with implementing a function that processes a dictionary of key-value pairs and returns a new dictionary. The new dictionary should only include key-value pairs where the value is an integer and greater than a specified threshold. The function should take two parameters: \n1. `input_dict`: A dictionary where keys are strings and values can be of any type. \n2. `threshold`: An integer that serves as the cutoff value. The function should return a new dictionary containing only those entries from `input_dict` that have integer values greater than `threshold`. \n\nWrite a function `filter_integer_values(input_dict: Dict[str, Any], threshold: int) -> Dict[str, int]` that implements this logic."
oss_29,"You are tasked with creating a function `get_word_vector(word: str) -> List[float]` that retrieves the vector representation of a given word using a predefined word embedding model. The model is represented as a dictionary where keys are words and values are their corresponding vector representations as lists of floats. Your function should take a single word as input and return its vector representation from the model. If the word does not exist in the model, return an empty list. The predefined model is as follows: {'apple': [0.1, 0.2, 0.3], 'banana': [0.4, 0.5, 0.6], 'orange': [0.7, 0.8, 0.9]}."
oss_30,"You are tasked with implementing a simplified version of an HTTP server in ocaml that can handle basic GET requests. Your goal is to implement a function `handle_get_request(url, response_cache)` that takes a URL as a string and a dictionary representing a cache for storing responses. The function should check if the URL exists in the response cache: if it does, return the corresponding content and a status code of 200. If the URL does not exist in the cache, return a message 'Not Found' and a status code of 404. The function signature is as follows: `def handle_get_request(url: str, response_cache: dict) -> tuple:` where the return value is a tuple (content, status_code)."
oss_31,"You are tasked with implementing a function that calculates a specific result based on an agent's ID. The function `calculate_agent_result` takes an integer parameter `agent_id`. The function should compute the square of the `agent_id`, add an offset of 10 to the computed value, and return the result. Write the function that meets these requirements."
oss_32,"You are tasked with creating a ocaml function that analyzes a list of import statements to extract and count the number of imported modules. The function should take a list of strings as input, where each string represents an import statement. The function should return a dictionary where the keys are the imported module names and the values are the number of times each module is imported. The input list may contain import statements with or without aliases. You should ignore any comments or non-import lines. Write a ocaml function called `count_imports` that takes a list of strings as input and returns a dictionary containing the count of imported modules as described above. Function signature: `def count_imports(import_statements: List[str]) -> dict:`"
oss_34,"You are given a 3D array representing a medical image and two integers representing the minimum and maximum intensity values. Your task is to implement a function `process_nifti_image(scan_array: List[List[List[int]]], min_: int, max_: int) -> List[List[List[int]]]` that clips the intensity values of the image array. Specifically, any intensity value less than `min_` should be set to `min_`, and any intensity value greater than `max_` should be set to `max_`. The function should return the modified 3D array after clipping the intensity values."
oss_35,"You are given a graph representing a network of rooms in a building. Each room is labeled with a unique integer identifier. The graph is represented as an adjacency list, where each key-value pair in the dictionary `rooms` represents a room and the rooms it is connected to. For example, `rooms[roomIdx]` returns a list of room identifiers that are directly connected to room `roomIdx`. Your task is to implement a function `find_connected_rooms(rooms, start_room)` that takes in the adjacency list `rooms` and the identifier of a starting room `start_room`, and returns a list of all the rooms that are connected to the starting room, including the starting room itself. The function should utilize depth-first search (DFS) to traverse the graph. The result should be in the order of rooms as they were visited. Function signature: `def find_connected_rooms(rooms: dict, start_room: int) -> list`."
oss_36,"You are tasked with creating a ocaml function to verify the accuracy of a given item count. You will receive a list of item counts and a target count. Your goal is to determine if the sum of the item counts matches the target count. Write a ocaml function `verify_item_count` that takes in the following parameters: 
- `item_counts`: a list of integers representing the counts of individual items. 
- `target_count`: an integer representing the expected total count of items. 
The function should return a boolean value: 
- `True` if the sum of the item counts matches the target count. 
- `False` if the sum of the item counts does not match the target count. 
Example: 
```python 
result = verify_item_count([1, 2, 3], 6) 
print(result)  # Output: True 
```"
oss_37,"You are tasked with creating a function that validates cat names based on specific criteria. Write a function called `is_valid_cat_name(name: str) -> bool` that takes a string `name` as input and returns `True` if the name is valid and `False` otherwise. A valid cat name must meet the following criteria: 1. The name must be under 26 characters in length. 2. The name must not contain any special characters or numbers (only alphabetic characters are allowed). 3. The name must not be empty. If the name meets all these criteria, return `True`; otherwise, return `False`."
oss_38,"You are tasked with implementing a function that simulates a simple light switch. The function should take a list of operations and return the final state of the light switch ('on' or 'off'). The operations can be either 'turn_on' or 'turn_off'. The light switch starts in the 'off' state. You need to ensure that each 'turn_on' operation turns the switch on, and each 'turn_off' operation turns the switch off. If the operations list is empty, return 'off'."
oss_39,"You are tasked with creating a function that computes the unpacked data type for a variable represented as a ocaml object. The unpacked data type refers to the type of the variable, which can be a string, numeric, or an unknown type. Your function should handle cases where the input variable is empty or contains numerical data. Specifically, your function should return 'Empty variable' if the variable is empty, 'String' if the variable is a string, 'Numeric' if the variable is of a numeric type (int or float), and 'Unknown data type' for any other types. Implement the function `get_variable_data_type(variable)`, which takes a variable as input and returns the unpacked data type as a string."
oss_40,"You are tasked with creating a function that extracts specific information from a package configuration dictionary. The configuration dictionary contains details about the package such as name, URL, license, author, description, packages, and long description. Implement a function `extract_package_info(config: dict, info: str) -> str` that takes in a dictionary `config` representing the package configuration and a string `info` representing the specific information to be extracted. The function should return the value associated with the given `info` key in the `config` dictionary. If the `info` key is not present in the `config` dictionary, the function should return 'Information not found'."
oss_41,"You are tasked with creating a function `change_quota(cm_response, log=False, pack=False)` that simulates changing a quota based on a given `cm_response` and optionally logs the input and output. The function should have the following behavior: 1. If `log` is `True`, the function should print the input and output of the function to the console. 2. If `pack` is `True`, the function should simulate sending a request to change the quota (you can represent this as a print statement). The function should return the modified `cm_response` regardless of the logging or packing options. Implement this function as specified."
oss_42,"You are tasked with creating a function that takes a JSON string as input and retrieves the value associated with a specific key. If the key does not exist, the function should return None. The function should also be able to update the value of a specified key in the JSON string and return the updated JSON string. The input will be a JSON formatted string and a key-value pair for updating. Implement a function named `manage_json_variables(json_string: str, key: str, value: Optional[str] = None) -> Union[str, Any]` where: 
- `json_string` is a string representing a valid JSON object. 
- `key` is a string representing the key whose value needs to be retrieved or updated. 
- `value` is an optional string that represents the new value to update for the specified key. If `value` is not provided, the function should return the value associated with the key. If the key does not exist, return None. The function should handle any JSON decoding errors gracefully."
oss_47,"You are tasked with creating a ocaml function that processes a list of migration operations and returns a dictionary containing the model names and their corresponding altered fields. You are given a list of tuples, where each tuple contains the operation type and the model name. Additionally, you are provided with a list of migration operations, each representing a specific alteration to a model field. Your task is to create a function `process_migration_operations` that takes these two lists as input and returns a dictionary where the keys are the model names and the values are lists of altered field names. The migration operations will be represented as a structured list of dictionaries. The function signature is: `def process_migration_operations(operations: list, models: list) -> dict:`"
oss_48,"You are tasked with implementing a function that modifies a configuration string. Given a multi-line string representing the content of a configuration file, your function should replace any line containing a specific keyword with a new line that specifies a new setting value. Your function should take three parameters: the configuration string, a keyword to search for, and a new setting value. The function should return the modified configuration string. If the keyword is not found, the original string should be returned unchanged. 

Function Signature: `def patch_configuration(content: str, keyword: str, new_setting: str) -> str:`"
oss_49,"You are tasked with implementing a function that finds the indices of specific types of elements in a 2D mesh. The function should take a list of elements, where each element is represented as a list of integers indicating its vertices. The function should also take a keyword argument `element_type` which specifies the type of elements to be found (e.g., 'triangle', 'quadrilateral', 'node', etc.). The function should return the indices of the elements of the specified type. If the `element_type` is not recognized, the function should raise a ValueError. Implement a single function `find_elements(elements, element_type)`."
oss_50,"You are tasked with implementing a function `pack_to_range` that takes a list of three integers `args` and an integer `node` as parameters. The function should create and return a `Range` object, which has two attributes: `left` and `right`. The `left` attribute should be the minimum value from `args` added to `node`, and the `right` attribute should be the maximum value from `args` added to `node`. You need to ensure that the function works correctly with the given inputs and adheres to the specified structure. Implement the `Range` class with the required attributes and the `pack_to_range` function accordingly."
oss_51,"You are tasked with creating a function that validates user registrations for a flash sale event. Each registration consists of a product link and a registration time. Implement the function `validate_registration(product_link: str, registration_time: str) -> Tuple[bool, str]` that checks the validity of the product link and the registration time. The function should return a tuple where the first element is a boolean indicating whether the registration is valid, and the second element is a message. The validation rules are as follows: 1. The product link must start with 'http://' or 'https://'. 2. The registration time must be in the format 'YYYY-MM-DD HH:MM:SS'. If the product link is invalid, the message should be 'Invalid product link'. If the registration time is invalid, the message should be 'Invalid registration time'. If both are valid, the message should be 'Registration successful'."
oss_52,"You are tasked with implementing a function that validates file formats for a web application. The function should take a list of allowed file formats and a file format to validate as input. If the file format is not in the allowed list, the function should raise a `ValidationError` with the message 'Wrong format! Allowed: {allowed_formats}.'. Implement the function `validate_file_format(allowed_formats: List[str], file_format: str) -> None`. The function does not return any value but raises an error if the format is not allowed. The allowed formats will be provided as a list of strings, and the file format will be a single string."
oss_54,"You are tasked with implementing a custom exception handling mechanism for a simple text processing application. Your task is to create a custom exception class named `TextProcessingException`, which should inherit from the base `Exception` class. It should have a constructor that accepts a message as a parameter and sets the message attribute of the base class using the constructor of the base class. You need to implement a function, `process_text`, that takes a string input and performs the following steps: 1. If the input string is empty, raise a `TextProcessingException` with the message 'Input cannot be empty'. 2. If the input string contains the word 'error', raise a `TextProcessingException` with the message 'Error found in input'. 3. If the input string is valid (not empty and does not contain 'error'), return a success message 'Text processed successfully'."
oss_55,"You are tasked with creating a ocaml function that calculates the total area of a list of geometric shapes represented as tuples. Each tuple contains the coordinates of the vertices of a polygon in the form of a list of (x, y) coordinates. Write a ocaml function `calculate_total_area(polygons: List[List[Tuple[float, float]]]) -> float` that takes a list of polygons as input and returns the total area covered by these polygons. The area should be calculated using the shoelace formula. If the input list is empty, return 0.0. Each polygon is defined by at least three vertices. 

Example: If the input is `[[[(0,0), (4,0), (4,3), (0,3)], [[(1,1), (2,1), (2,2), (1,2)]]]`, the function should calculate the total area by evaluating the area of each polygon and summing them up, resulting in `15.0`."
oss_56,"You are tasked with implementing a ocaml function that validates a given IP address and port number for a server setup. The function should check if the IP address is a valid IPv4 address and if the port number is within the acceptable range (1024 to 65535). Your task is to complete the implementation of the validation function according to the given code snippet. 

Function Signature: 
```python
def validate_server_setup(address: str, port: int) -> bool:
    pass
``` 

**Input**
- `address` (1 <= len(address) <= 15): A string representing the IP address to validate.
- `port` (1024 <= port <= 65535): An integer representing the port number to validate.

**Output**
- The function should return `True` if the IP address is valid and the port number is within the specified range; otherwise, it should return `False`.

**Example**
```python
validate_server_setup('127.0.0.1', 8080)  # Should return True
validate_server_setup('256.256.256.256', 8080)  # Should return False
```"
oss_57,"You are tasked with creating a function that formats information about a programming language. The function should take two parameters: `lang_name` (a string representing the name of the programming language) and `lang_code` (a string representing the programming language's code). The function should return a formatted string in the following format: ""Language: {lang_name}, Code: {lang_code}"". Implement a function `format_language_info(lang_name: str, lang_code: str) -> str` that meets these requirements."
oss_59,"You are tasked with implementing a function that creates an audio dataset by processing a list of audio file paths and their corresponding labels. The function should take a list of file paths and labels, and return an AudioIODataset containing tuples of (data, label). If the list of file paths is empty, the function should return an empty AudioIODataset. The function signature is: `def create_dataset(file_paths: List[str], labels: List[str]) -> AudioIODataset`. The AudioIODataset class has a method `add_data(data, label)` to add audio data and its corresponding label to the dataset. You may assume that the audio data can be represented by the file path itself for testing purposes."
oss_61,"You are tasked with implementing a function that constructs a string representation of a binary mathematical expression. The function should take in three parameters: `opkind`, a string representing the operation type (e.g., '+', '-', '*', '/'), `left_expr`, a string representing the left operand, and `right_expr`, a string representing the right operand. The function should return a string in the format '(left_expr opkind right_expr)', where `left_expr` and `right_expr` are the provided operand strings. Your task is to implement the function `to_expr_string(opkind: str, left_expr: str, right_expr: str) -> str`."
oss_62,"You are tasked with determining the most effective treatment for a specific subclone of cancer cells based on a matrix that represents the effects of various treatments. You will implement a function called `most_effective_treatment(matrix, subclone_index)` that takes in a 2D array `matrix`, where each row corresponds to a subclone and each column corresponds to a treatment, and an integer `subclone_index` that specifies which subclone you are interested in. The function should return the index of the treatment (0-based) that has the greatest impact on the specified subclone. In case there are multiple treatments with the same maximum impact, return the index of the first occurrence. Ensure that the function handles cases where the subclone index is out of bounds by returning -1."
oss_64,"You are given a list of integers. Your task is to implement a function that returns the sum of all the even numbers in the list. If there are no even numbers, the function should return 0. Implement the function `sum_even_numbers(nums: List[int]) -> int` where `nums` is the input list of integers."
oss_65,"You are tasked with creating a function that processes an input string and returns a dictionary containing information about the input. Write a function `process_input` that takes a string `input_str` as input and returns a dictionary `result` with the following keys: - If the input string is a valid integer, add a key-value pair to `result` with key 'input_type' and value 'integer'. - If the input string is a valid float, add a key-value pair to `result` with key 'input_type' and value 'float'. - If the input string is neither a valid integer nor a valid float, add a key-value pair to `result` with key 'input_type' and value 'string'. - If the input string is empty, the function should return a dictionary with the 'code' key set to 400 and the 'msg' key set to 'Empty input string'. If an exception occurs during the processing of the input string, set the 'code' key in the result dictionary to 401 and the 'msg' key to the string representation of the exception. Your task is to implement the `process_input` function according to the specified requirements."
oss_66,"You are tasked with implementing a function that processes an accession object represented by its name, an iterable of file names, and metadata in the form of key-value pairs. Your function should return a dictionary that contains the following information: the name of the accession, a list of files associated with it, and the metadata as key-value pairs. Implement a function named `process_accession` that takes the accession name as a string, a list of file names, and any number of keyword arguments representing metadata. The function should return a dictionary structured as follows: { 'name': <accession_name>, 'files': <list_of_files>, 'metadata': <metadata_dict> }."
oss_67,"Given a list of four tuples representing the vertices of a quadrilateral, determine if it is a parallelogram. A quadrilateral is a parallelogram if the lengths of opposite sides are equal. Implement the function `is_parallelogram(vertices)` that takes a list of four tuples `vertices`, where each tuple is of the form (x, y) representing the coordinates of a vertex. The function should return `True` if the quadrilateral is a parallelogram, and `False` otherwise."
oss_68,"You are tasked with implementing a function that calculates the accuracy of predictions based on a specified threshold. The accuracy is defined as the proportion of predictions that are greater than the threshold compared to the total number of predictions provided. Write a function `calculate_accuracy(predictions, threshold)` that takes a list of floating-point probabilities `predictions` and a float `threshold`, and returns the accuracy as a float. If the list of predictions is empty, the function should return 0.0."
oss_69,"You have a list of dictionaries representing plugins, where each dictionary contains the keys 'name', 'author', 'description', and 'installed' (a boolean). Write a function `filter_installed_plugins(plugins)` that takes this list as input and returns a list of dictionaries containing only the installed plugins. Each dictionary in the output should retain the same structure as the input but should only include those plugins where the 'installed' key is True."
oss_72,"You are given a string that represents a block of text. Your task is to write a ocaml function that counts the occurrences of each unique word in the text. The function should return a dictionary where the keys are the unique words (case-insensitive) and the values are the corresponding counts. The text may include uppercase and lowercase letters, spaces, and punctuation marks. Please ensure to ignore punctuation while counting the words. For example, given the input 'The quick brown fox jumps over the lazy dog. The dog barks loudly.', the function should return {'the': 2, 'quick': 1, 'brown': 1, 'fox': 1, 'jumps': 1, 'over': 1, 'lazy': 1, 'dog': 2, 'barks': 1, 'loudly': 1}."
oss_73,"You are tasked with creating a function that simulates a simple banking transaction system. Write a ocaml function called 'bank_transaction' that takes in an initial account balance and a list of transactions. Each transaction can either be a deposit (a positive integer) or a withdrawal (a negative integer). The function should return the final account balance after processing all transactions. If any withdrawal exceeds the current balance at any point, the withdrawal should not be processed. For example, if the account balance is 100 and a transaction of -150 occurs, it should be ignored. Your function should return the final balance after all transactions have been applied."
oss_75,"You are tasked with evaluating empowerment values for an agent in a gridworld environment. Empowerment is a measure of the agent's ability to control its future states. You need to implement a function `evaluate_empowerment` which takes the following parameters:  
- `horizon` (an integer, recommended value is 3)  
- `use_segments` (a boolean flag, default is `False`)  
- `use_memory` (a boolean flag, default is `False`)  
- `state` (a dictionary representing the current state with keys 'position' and 'value'). The function should return a float representing the empowerment value for that state. The evaluation process should follow these rules:  
1. If `use_segments` is `True`, evaluate empowerment using segments.  
2. If `use_memory` is `True`, modify the empowerment value using a preset factor of 1.2.  
3. If `use_segments` is `False`, evaluate empowerment using the 'value' from the state. The empowerment value should be calculated as `value * horizon`.  
4. Make sure to return the final empowerment value after applying the memory adjustment if `use_memory` is `True`.  
Implement the function without using any external resources."
oss_76,"You are tasked with creating a command verification system. You need to implement a function called `custom_check` that takes a function `predicate` as an argument. The `predicate` function will take a context object `ctx` as its parameter and should return `True` if a command execution is allowed and `False` otherwise. The `ctx` object contains a `message` attribute with an `author` that has an `id`. You also have a predefined authorized user ID, which is stored in the `Config` class as `QT_ID`. If the `author.id` does not match `Config.QT_ID`, the function should raise a custom exception called `CanNotVerifyQt`. Your task is to implement the logic inside the `custom_check` function to enforce this verification and handle the `CanNotVerifyQt` exception correctly."
oss_85,"You are tasked with implementing a function that processes data from a multiple-choice question (MCQ) generator API response. The function needs to handle two scenarios: when the API response contains the necessary data and when it does not. The function should: 1. Accept the following parameters: - `repository`: A mock repository object with an `update` method used to update the data. - `id`: A string identifier for the data to be updated. - `response`: A dictionary representing the response from the MCQ generator API. 2. Check if the 'summary' key is present in the response dictionary. If it is present, the function should update the repository with the MCQ data using the `repository.update` method and the provided parameters. The data to be updated should come from the 'mcqs' key in the response dictionary. 3. If the 'summary' key is not present in the response dictionary, the function should return the string 'Call this API after summary has been generated'. Implement the function `process_mcq_data(repository, id, response)`."
oss_86,"You are tasked with implementing a function that simulates a simple test manager for software development kits (SDKs). The function should take a string representing the type of test (e.g., 'unit', 'integration', 'SDK') and an optional string representing the type of SDK (only applicable if the test type is 'SDK'). The function should print a message indicating the type of test being run. If the test type is 'SDK', it should also include the SDK type in the message. If an invalid test type is provided, it should print 'Invalid test type'. 

Function Signature: `def test_manager(testtype: str, sdktype: Optional[str] = None) -> None:`"
oss_88,"You are tasked with implementing a function to remove a specified suffix from a given string. The function should take two parameters: the original string and the suffix to be removed. If the original string ends with the specified suffix, the function should return the original string with the suffix removed; otherwise, it should return the original string as is. Implement the `strip_suffix` function to achieve this."
oss_89,"You are working with a dataset that represents a simple graph consisting of nodes and edges. Each node is identified by a unique integer ID, and each edge connects two nodes. Your task is to implement a function `transform_graph` that takes a list of edges and converts it into a format suitable for visualization using a graph library. The output should be a dictionary with two keys: 'nodes' and 'edges'. The 'nodes' key should contain a list of unique node IDs, and the 'edges' key should contain a list of tuples representing the edges. Each tuple should contain two integers representing the IDs of the nodes connected by that edge. Write the function `transform_graph(edges: List[Tuple[int, int]]) -> Dict[str, List[Union[int, Tuple[int, int]]]]`."
oss_90,"You are tasked with implementing a ocaml function that calculates the weighted average of student grades based on two dictionaries: 'grades' and 'credits'. The 'grades' dictionary contains course names as keys and lists of grades as values, while the 'credits' dictionary contains course names as keys and their respective credit units as values. Your function should take these two dictionaries as input and return the weighted average of the student's grades. If a course in 'grades' does not have a corresponding credit in 'credits', it should be ignored in the calculation. The function signature is: `def weighted_average(grades, credits):`."
oss_92,"You are tasked with organizing and analyzing data from a set of software packages. Each package is represented by a dictionary containing its name, version, and size. Write a function `organize_packages` that takes a list of package dictionaries and organizes them into a dictionary where the keys are the package names and the values are lists of versions for each package. The function should return this organized dictionary. The function signature should be: `def organize_packages(packages: list) -> dict:`. For example, given the input: `[{'name': 'numpy', 'version': '1.18.1', 'size': 150}, {'name': 'mkl', 'version': '2019.0', 'size': 100}, {'name': 'ocaml', 'version': '3.7.4', 'size': 200}]`, the output should be `{'numpy': ['1.18.1'], 'mkl': ['2019.0'], 'ocaml': ['3.7.4']}`."
